Job profession,Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist
Astronomer,11,5,12,16,17,11,18,19
Astronomer,12,6,12,16,16,11,18,19
Astronomer,13,7,12,16,15,11,18,19
Astronomer,14,8,12,16,19,11,18,19
Astronomer,13,9,12,16,20,11,19,19
Astronomer,12,8,12,16,17,11,19,19
Astronomer,11,7,12,16,16,11,19,19
Astronomer,14,6,12,16,15,11,19,19
Astronomer,11,5,12,16,19,11,19,19
Astronomer,12,5,13,16,20,12,19,19
Astronomer,13,6,13,16,17,12,19,19
Astronomer,14,7,13,16,16,12,19,19
Astronomer,13,8,13,17,15,12,19,19
Astronomer,12,9,13,17,19,12,19,19
Astronomer,11,8,13,17,20,12,19,18
Astronomer,14,7,13,17,15,12,19,18
Astronomer,11,6,13,17,15,12,20,18
Astronomer,12,5,13,18,16,12,20,18
Astronomer,13,5,13,18,16,12,20,18
Astronomer,14,6,14,18,17,13,20,18
Astronomer,13,7,14,18,16,13,20,18
Astronomer,12,8,14,18,15,13,16,18
Astronomer,11,9,14,18,19,13,16,18
Astronomer,14,8,14,18,20,13,16,18
Astronomer,11,7,14,18,16,13,16,19
Astronomer,12,6,14,19,16,13,16,20
Astronomer,13,5,14,19,17,13,16,20
Astronomer,14,5,14,19,17,13,16,20
Astronomer,13,5,14,19,16,13,16,20
Astronomer,12,6,14,19,15,13,16,20
Astronomer,11,7,14,19,19,13,16,20
Astronomer,14,8,14,19,20,13,16,20
Astronomer,11,9,14,19,17,13,16,20
Astronomer,12,8,14,19,17,13,16,20
Astronomer,13,7,11,19,17,13,16,20
Astronomer,14,6,11,19,16,13,16,20
Astronomer,13,5,11,20,15,13,16,20
Astronomer,12,8,11,20,19,12,16,20
Astronomer,11,5,11,20,20,12,16,20
Astronomer,14,6,11,20,17,12,16,20
Astronomer,11,7,11,20,17,12,17,15
Astronomer,12,8,11,20,18,12,17,15
Astronomer,13,9,11,20,17,12,17,15
Astronomer,14,8,11,20,16,12,17,15
Astronomer,13,7,12,20,15,11,17,15
Astronomer,12,6,12,20,19,11,17,15
Astronomer,11,5,12,20,20,11,17,15
Astronomer,14,9,12,20,18,11,17,15
Astronomer,11,7,12,20,18,11,17,15
Astronomer,12,9,12,20,18,11,17,15
Geologist,11,8,17,19,13,6,12,20
Geologist,12,5,16,19,14,7,12,20
Geologist,13,6,15,19,13,8,12,20
Geologist,14,7,19,19,12,9,12,20
Geologist,13,8,20,19,11,8,12,20
Geologist,12,9,17,19,14,5,12,20
Geologist,11,8,17,19,11,6,12,20
Geologist,14,5,18,19,12,7,12,20
Geologist,11,6,17,19,13,8,12,20
Geologist,12,7,17,19,13,9,12,20
Geologist,13,8,16,19,14,8,13,20
Geologist,14,9,15,15,13,5,13,20
Geologist,13,8,19,15,12,6,13,20
Geologist,12,5,20,15,11,7,13,20
Geologist,11,6,17,15,14,8,13,20
Geologist,14,7,17,15,11,9,13,20
Geologist,11,8,18,15,12,8,13,20
Geologist,12,9,17,15,13,5,13,18
Geologist,13,8,17,15,13,6,13,18
Geologist,14,5,16,15,14,7,13,18
Geologist,13,6,15,15,13,8,13,18
Geologist,12,7,19,18,12,9,13,18
Geologist,11,8,20,18,11,8,11,18
Geologist,14,9,17,18,14,5,11,18
Geologist,11,8,17,18,11,6,11,18
Geologist,12,5,18,18,12,7,11,18
Geologist,13,6,17,18,13,8,11,18
Geologist,14,7,17,18,13,9,11,18
Geologist,13,8,16,18,14,8,11,18
Geologist,12,9,15,18,13,5,11,18
Geologist,11,8,19,18,12,6,11,18
Geologist,14,5,20,18,11,7,11,18
Geologist,11,6,17,18,14,8,11,18
Geologist,12,7,17,18,11,9,11,17
Geologist,13,8,18,18,12,8,11,17
Geologist,14,9,17,18,13,5,11,17
Geologist,13,8,17,18,13,6,14,17
Geologist,12,5,16,18,14,7,14,17
Geologist,11,6,15,18,13,8,14,17
Geologist,14,7,19,19,12,9,14,17
Geologist,11,8,20,19,11,8,14,17
Geologist,12,9,17,19,14,5,14,17
Geologist,13,8,17,19,11,6,14,17
Geologist,14,5,18,19,12,7,14,17
Geologist,13,6,17,19,11,8,14,17
Geologist,12,7,16,19,12,9,14,17
Geologist,11,8,15,19,13,8,14,17
Geologist,14,9,19,19,14,5,14,17
Geologist,11,7,20,19,13,9,14,17
Geologist,12,6,17,19,12,7,14,17
Marine Biologist,5,6,11,20,12,7,13,19
Marine Biologist,6,5,12,20,12,9,13,19
Marine Biologist,7,6,14,20,12,10,11,19
Marine Biologist,8,7,12,20,12,9,12,19
Marine Biologist,9,8,13,20,12,8,14,19
Marine Biologist,10,9,11,20,12,7,12,19
Marine Biologist,9,8,12,20,12,6,13,19
Marine Biologist,8,5,14,20,12,6,11,19
Marine Biologist,7,6,12,20,12,9,12,19
Marine Biologist,6,7,13,20,12,10,14,19
Marine Biologist,6,8,11,20,12,9,13,19
Marine Biologist,7,9,12,20,12,8,11,19
Marine Biologist,8,5,14,20,12,7,12,19
Marine Biologist,9,6,12,20,12,6,14,19
Marine Biologist,10,7,13,20,12,6,12,19
Marine Biologist,9,8,11,20,12,9,13,19
Marine Biologist,8,9,12,20,12,10,11,19
Marine Biologist,7,8,14,20,12,9,12,19
Marine Biologist,6,5,12,20,12,8,14,19
Marine Biologist,6,6,13,19,12,7,13,19
Marine Biologist,7,7,11,19,12,6,11,19
Marine Biologist,8,8,12,19,12,6,12,19
Marine Biologist,9,9,14,19,11,9,14,16
Marine Biologist,10,5,12,19,11,10,12,16
Marine Biologist,9,6,13,19,11,9,13,16
Marine Biologist,8,7,11,19,11,8,11,16
Marine Biologist,7,8,12,19,11,7,12,16
Marine Biologist,6,9,14,19,11,6,14,16
Marine Biologist,6,8,12,19,11,6,13,16
Marine Biologist,7,5,13,19,11,9,11,16
