job_id,job_title,job_category,experience_level,years_of_experience,education_required,annual_salary_usd,salary_min_usd,salary_max_usd,city,country,remote_work,company_size,industry,required_skills,ai_salary_premium_pct,demand_score,demand_growth_yoy_pct,benefits_score_10,posting_year,posting_month,is_senior,is_remote_friendly,is_llm_role,salary_tier
AIJOB0001,AI Agent Developer,AI Engineering,Senior,7,Master's,239000.0,155000,290000,Boston,USA,On-site,Startup (1-50),Finance,api | planning systems | python | cloud | sql | leadership,13.1,96,16.9,6.8,2026,3,1,0,1,Senior ($200-300k)
AIJOB0002,Prompt Engineer,AI Engineering,Senior,2,Bachelor's,166000.0,90000,200000,London,UK,Hybrid,Enterprise (5000+),Finance,python | documentation | llm api | prompt design | natural language processing | testing | cloud,5.4,82,11.6,6.2,2026,1,1,1,1,Upper-Mid ($150-200k)
AIJOB0003,LLM Engineer,AI Engineering,Senior,4,Associate's,360000.0,160000,300000,Seattle,USA,Fully Remote,Big Tech (FAANG+),Finance,vector databases | python | prompt engineering | fine-tuning | agile,9.1,98,42.7,7.7,2026,1,1,1,1,Elite (>$300k)
AIJOB0004,Data Engineer (AI),Data Engineering,Senior,3,Bachelor's,161000.0,130000,220000,Singapore,Singapore,Fully Remote,SME (51-500),Technology,feature stores | spark | etl | airflow | dbt | sql | python | statistics | communication,12.0,88,6.7,9.5,2026,3,1,1,0,Upper-Mid ($150-200k)
AIJOB0005,AI Product Manager,Product,Senior,5,Bootcamp/Self-taught,283000.0,140000,260000,Los Angeles,USA,Fully Remote,Enterprise (5000+),Automotive,data analysis | stakeholder management | agile | cloud | problem solving | statistics,9.4,85,17.3,8.9,2026,1,1,1,0,Senior ($200-300k)
AIJOB0006,AI Agent Developer,AI Engineering,Entry,5,Bootcamp/Self-taught,155000.0,155000,290000,Chicago,USA,On-site,Enterprise (5000+),Government,planning systems | python | api | autogen | langchain | statistics | git | agile,8.0,96,67.7,8.7,2026,1,0,0,1,Upper-Mid ($150-200k)
AIJOB0007,AI Security Engineer,Security,Mid,5,Master's,197000.0,140000,260000,Boston,USA,Fully Remote,Mid-size (501-5000),Manufacturing,risk analysis | cybersecurity | python | ml security | red teaming | git,16.3,80,12.7,6.2,2026,1,0,1,0,Upper-Mid ($150-200k)
AIJOB0008,Senior ML Engineer,AI Engineering,Mid,7,Master's,221000.0,180000,312000,Remote,Global,Fully Remote,Startup (1-50),Education,llm fine-tuning | distributed systems | machine learning operations | python | system design | agile | cloud | statistics,12.5,96,33.1,6.2,2025,9,0,1,0,Senior ($200-300k)
AIJOB0009,NLP Engineer,AI Engineering,Entry,3,Bachelor's,145000.0,145000,290000,Bangalore,India,Hybrid,SME (51-500),Automotive,python | text processing | bert | hugging face | communication | agile | research,8.1,91,79.4,8.2,2025,8,0,1,0,Mid ($100-150k)
AIJOB0010,Prompt Engineer,AI Engineering,Entry,4,Bootcamp/Self-taught,90000.0,90000,200000,Los Angeles,USA,On-site,Startup (1-50),Automotive,documentation | prompt design | testing | natural language processing | llm api | python | communication,6.1,82,15.5,7.1,2025,2,0,0,1,Entry (<$100k)
AIJOB0011,AI Solutions Architect,Architecture,Entry,7,Associate's,180000.0,180000,320000,Tokyo,Japan,On-site,Startup (1-50),Technology,cloud | python | leadership | enterprise architecture,8.0,84,14.8,9.5,2026,2,0,0,0,Upper-Mid ($150-200k)
AIJOB0012,Prompt Engineer,AI Engineering,Mid,1,Master's,118000.0,90000,200000,Tokyo,Japan,Hybrid,Enterprise (5000+),Education,documentation | python | prompt design | problem solving,9.0,82,8.9,9.7,2025,3,0,1,1,Mid ($100-150k)
AIJOB0013,Senior ML Engineer,AI Engineering,Mid,8,Bootcamp/Self-taught,180000.0,180000,312000,Beijing,China,On-site,Startup (1-50),Retail,llm fine-tuning | python | machine learning operations | problem solving | leadership | statistics,15.2,96,32.4,7.5,2026,2,0,0,0,Upper-Mid ($150-200k)
AIJOB0014,AI Solutions Architect,Architecture,Entry,15,Bootcamp/Self-taught,180000.0,180000,320000,Toronto,Canada,Fully Remote,Startup (1-50),Finance,system design | leadership | cloud | agile | linux | statistics,11.7,84,8.9,9.2,2026,3,0,1,0,Upper-Mid ($150-200k)
